INCIDENT#,CONTAINED,COUNTY/UNIT,FIRE NAME,DATE START,DATE CONT.,ORIGIN DPA,ACRES BURNED CAL FIRE,ACRES BURNED OTHER,ACRES BURNED TOTAL,VEG. TYPE,CAUSE,STRUCTURES DEST.,STRUCTURES DAM.,FATALITIES FIRE,FATALITIES CIVIL
RRU-1600,,RIVERSIDE,MOCKINGBIRD,01/05/07,01/06/07,CDF,671,,671,G,EQUIP. USE,0,0,0,0
SLU-338,,SAN LUIS OBISPO,DIABLO,01/14/07,01/16/07,CDF,332,,332,T,STRUCTURE EXPOSU,1,0,0,0
RRU-19979,,RIVERSIDE,ALESSANDRO,03/04/07,03/04/07,CDF,680,,680,G,UNDET.,0,0,0,0
ORC-16557,,ORANGE,241 FIRE,03/11/07,03/13/07,CDF,2036,,2036,G,HUMAN,2,1,0,0
RRU-22254,,RIVERSIDE,SIERRA,03/11/07,03/12/07,CDF,1044,,1044,G,ARSON,0,0,0,0
FKU-2844,,FRESNO,LITTLE 5,03/22/07,03/23/07,CDF,300,,300,G,OTHER,0,0,0,0
BDC-13362,,SAN BERNARDINO,LAS FLORES,03/31/07,04/01/07,LOCAL,,4100,4100,GB,UI,1,1,0,0
CDD-4439,,MONO,WALKER,04/06/07,04/08/07,BLM,,901,901,,UI,0,0,0,0
DVP-4840,,INYO,GOLDEN,04/14/07,04/15/07,NPS,,1988,1988,GB,UI,0,0,0,0
RRU-37425,,RIVERSIDE,RIVER DAY,04/28/07,04/29/07,LOCAL,,488,488,BG,UNDET.,0,0,0,0
BBD-817,,KERN,JAMES,04/29/07,05/03/07,BLM,,1350,1350,GB,UI,0,0,0,0
RRU-40815,,RIVERSIDE,DAWSON,05/08/07,05/09/07,CDF,990,,990,GB,EQUIP. USE,0,0,0,0
LFD-0648,,LOS ANGELES,GRIFFITH PARK,05/08/07,05/11/07,LOCAL,,817,817,BG,UI,0,1,0,0
LAC-102481,,LOS ANGELES,ISLAND,05/10/07,05/15/07,CDF,4750,,4750,,UI,6,4,0,0
LNU-3042,,YOLO,BRAYE,05/18/07,05/22/07,CDF,450,,450,G,UNDET.,0,0,0,0
LAC-7109398,,LOS ANGELES,GORMAN,05/19/07,05/22/07,CDF,2050,,2050,,UI,0,0,0,0
MMU-5998,,MADERA,HWY 41,05/20/07,05/20/07,CDF,338,,338,G,UNDET.,0,0,0,0
BTU-5890,,BUTTE,HONEY,05/22/07,05/23/07,CDF,726,,726,BW,MISC.,0,0,0,0
SHF-719,,SHASTA,BOLLI,05/22/07,05/27/07,USFS,,730,730,T,UI,0,0,0,0
TUU-5701,,TULARE,HORSE,05/28/07,05/30/07,CDF,410,,410,G,ARSON,0,0,0,0
TUU-5940,,TULARE,SHANNON,06/03/07,06/04/07,CDF,2140,,2140,BG,EQUIP. USE,0,0,0,0
SQF-1317,,TULARE,GOLDLEDGE,06/03/07,06/28/07,USFS,,4196,4196,BG,UI,0,0,0,0
MVU-5376,,IMPERIAL MVU,INKOPAH,06/05/07,06/06/07,CDF,1500,,1500,B,UNDET.,0,0,0,0
