INCIDENT#,COUNTY/UNIT,FIRE NAME,DATE START,DATE CONT.,ORIGIN DPA,ACRES BURNED CAL FIRE,ACRES BURNED OTHER,ACRES BURNED TOTAL,VEG. TYPE,CAUSE,STRUCTURES DEST.,STRUCTURES DAM.,FATALITIES FIRE,FATALITIES CIVIL
MMU-7830,MARIPOSA,RIVER,5/18/12,5/22/12,CAL FIRE,,,320,G,UNDETERMINED,,,,
MVU-005400,SAN DIEGO,BANNER 4,5/24/12,5/29/12,CAL FIRE,,,5320,G,UNDETERMINED,,,,
MMU-008599,MERCED,BILLY,5/31/12,5/31/12,CAL FIRE,,,434,G,ELECTRICAL,,,,
LAC-134232,LOS ANGELES,5 MILE,6/8/12,6/9/12,CAL FIRE,,,525,GB,EQUIPMENT,,,,
MMU-009308,MARIPOSA,GAINES,6/12/12,6/14/12,CAL FIRE,,,1700,G,ELECTRICAL,,,,
FKU-7091,FRESNO,LASSEN,6/12/12,6/13/12,CAL FIRE,,,418,G,UNDETERMINED,,,,
RRU-059216,RIVERSIDE,HIGHLAND,6/16/12,6/18/12,CAL FIRE,,,2171,BG,UNDETERMINED,,,,
RRU-059775,RIVERSIDE,VIEW,6/17/12,6/18/12,CAL FIRE,,,375,B,ELECTRICAL,,,,
MVU-6329,SAN DIEGO,OLD 2,6/17/12,6/20/12,CAL FIRE,,,995,B,UNDETERMINED,2,,,
SHU-005135,SHASTA,DALE,7/5/12,7/7/12,CAL FIRE,,,1083,GB,UNDETERMINED,2,5,,
BDU-7678,INYO,FISH,7/7/12,7/9/12,CAL FIRE,,,1103,B,UNDETERMINED,,,,
LNU-5038,COLUSA,SITES,7/8/12,7/9/12,CAL FIRE,,,365,G,UNDETERMINED,,,,
LNU-5039,COLUSA,GRAPEVINE,7/8/12,7/12/12,CAL FIRE,,,1870,B,UNDETERMINED,,,,
LNU-5056,COLUSA,RAIL,7/9/12,7/12/12,CAL FIRE,,,1870,B,UNDETERMINED,,,,
BEU-3109,MONTEREY,TURKEY,7/9/12,7/10/12,CAL FIRE,,,2529,TG,EQUIPMENT,,,,
TCU-6227,TUOLUMNE,SEVEN,7/10/12,7/11/12,CAL FIRE,,,840,B,UNDETERMINED,1,,,
NEU-15060,PLACER,ROBBERS,7/11/12,7/21/12,CAL FIRE,,,2650,BT,ARSON,8,,,
SLU-5716,SAN LUIS OBISPO,CALF,7/16/12,7/18/12,CAL FIRE,,,640,B,EQUIPMENT,,,,
KRN-22306,KERN,SAND,7/17/12,7/19/12,CAL FIRE,,,1428,GB,EQUIPMENT,1,,,
LNU-5495,YOLO,FOREST,7/21/12,7/24/12,CAL FIRE,,,520,G,EQUIPMENT,,,,
TGU-5964,TEHAMA,PASKENTA,7/25/12,7/25/12,CAL FIRE,,,300,GB,VEHICLE,,,,
KRN-23612,KERN,GRAPE,7/28/12,7/29/12,CAL FIRE,,,370,G,UNDETERMINED,,,,
MEU-5115,MENDOCINO,NORTH,7/28/12,7/30/12,CAL FIRE,,,383,B,UNDETERMINED,,,,
RRU-7075254,RIVERSIDE,VOLCANO,8/1/12,8/5/12,CAL FIRE,,,356,GB,EQUIPMENT,1,,,
RRU-76402,RIVERSIDE,RUSHMORE,8/4/12,8/4/12,CAL FIRE,,,1000,G,UNDETERMINED,,,,
MVU-8547,SAN DIEGO,CHIHUAHUA 2,8/9/12,8/12/12,CAL FIRE,,,2006,B,LIGHTNING,,,,
LNU-6335,LAKE/COLUSA,WYE,8/12/12,8/18/12,CAL FIRE,,,2934,B,UNDETERMINED,3,2,,,
LNU-6334,LAKE/ COLUSA,WALKER,8/12/12,8/14/12,CAL FIRE,,,5000,G,UNDETERMINED,,,,
MVU-8747,SAN DIEGO,VALLECITO LIGHTNING COMPLEX,8/13/12,8/20/12,CAL FIRE,,,22829,B,LIGHTNING,,,,
BTU-8116,TEHAMA,MILL,8/13/12,8/23/12,CAL FIRE,,,1641,T,ARSON,,,,
RRU-080142,RIVERSIDE,BUCK,8/14/12,8/18/12,CAL FIRE,,,2681,GB,LIGHTNING,4,,,
TGU-6696,TEHAMA/SHASTA,PONDEROSA,8/18/12,9/2/12,CAL FIRE,,,27676,T,LIGHTNING,133,6,,
RRU-82309,RIVERSIDE,VISTA,8/20/12,8/21/12,CAL FIRE,,,500,G,EQUIPMENT,,,,
LNU-7072,COLUSA,SIXTEEN COMPLEX,9/4/12,9/11/12,CAL FIRE,,,19000,TGB,UNDETERMINED,,,,
MEU-6376,LAKE,SCOTTS,9/7/12,9/14/12,CAL FIRE,,,4517,B,CAMPFIRE,,,,
MVU-010383,SAN DIEGO,SHOCKEY,9/23/12,9/27/12,CAL FIRE,,,2555,B,UNDETERMINED,39,2,,
RRU-96791,RIVERSIDE,RANGE,9/29/12,10/1/12,CAL FIRE,,,351,GB,MISC,3,,,
LNU-008431,LAKE,TWENTY NINE,10/18/12,10/21/12,CAL FIRE,,,300,BT,ELECTRICAL,8,,,
SQF-1384,TULARE,GEORGE,6/1/12,6/15/12,USFS,,,1707,TB,UI,,,,
LPE-1439,VENTURA,OZENA,6/16/12,6/17/12,USFS,,,361,B,UI,,,,
SQF-001644,KERN,GULCH,6/19/12,6/21/12,USFS,,,385,BG,HUMAN,1,,,
LPF-1505,VENTURA,HILL,6/23/12,6/27/12,USFS,,,689,B,UI,,,,
SHF-2290,TRINITY,FLAT,7/11/12,7/17/12,USFS,,,1688,TG,UI,,,,
MNF-1109,COLUSA,MILL,7/7/12,7/18/12,USFS,,,29502,TB,UI,5,,,
