INCIDENT#,CONTAINED,COUNTY/UNIT,FIRE NAME,DATE START,DATE CONT.,ORIGIN DPA,ACRES BURNED CAL FIRE,ACRES BURNED OTHER,ACRES BURNED TOTAL,VEG. TYPE,CAUSE,STRUCTURES DEST.,STRUCTURES DAM.,FATALITIES FIRE,FATALITIES CIVIL
BDU-1662,100%,INYO,ROUND,2/6/15,2/13/15,CAL FIRE,3425,3575,7000,B,UNDETERMINED,43,5,0,0,,
RRU-44605,100%,RIVERSIDE,HIGHWAY,4/18/15,4/24/15,CAL FIRE,1049,,1049,TG,EQUIPMENT,0,0,0,0,,
MMU-8812,100%,MERCED,FOREBAY,5/11/15,5/12/15,CAL FIRE,692,,692,G,VEHICLE,0,0,0,0,,
MMU-11662,100%,MADERA,CORRINE,6/18/15,6/24/15,CAL FIRE,376,544,920,TBG,ELECTRICAL POWER,2,0,0,0,,
SLU-6113,100%,SAN LUIS OBISPO,PARKHILL,6/20/15,6/20/15,CAL FIRE,1791,,1791,B,VEHICLE,18,3,0,0,,,
AEU-17193,100%,SACRAMENTO,IONE,7/2/15,7/5/15,CAL FIRE,357,,357,G,ARSON,0,0,0,0,,,
SKU-5078,100%,SISKIYOU,YORK,7/4/15,7/6/15,CAL FIRE,395,,395,G,LIGHTNING,0,0,0,0,,,
MMU-13970,100%,MERCED,MCCABE,7/18/15,7/22/15,CAL FIRE,1600,,1600,G,LIGHTNING,0,0,0,0,,,
TUU-383,100%,TULARE,TRIPLE 3,7/21/15,7/21/15,CAL FIRE,430,,430,G,LIGHTNING,0,0,0,0,,,
LNU-6678,100%,NAPA,WRAGG,7/22/15,8/6/15,CAL FIRE,8051,,8051,B,VEHICLE,2,5,0,0,,,
NEU-17851,100%,NEVADA,LOWELL,7/25/15,8/12/15,CAL FIRE,2304,,2304,TG,UNDETERMINED,3,1,0,0,,,
BTU-10917,100%,BUTTE,SWEDES,7/29/15,8/16/15,CAL FIRE,400,,400,B,DEBRIS BURNING,16,0,0,0,,,
LNU-6984,100%,LAKE,ROCKY,7/29/15,8/14/15,CAL FIRE,69636,,69636,TBG,EQUIPMENT,96,8,0,0,,,
HUU-5606,100%,HUMBOLDT,HUMBOLDT COMPLEX,7/30/15,8/21/15,CAL FIRE,4883,,4883,T,LIGHTNING,7,0,0,0,,,
MMU-14907,100%,MERCED,CREEK,7/31/15,7/31/15,CAL FIRE,1450,,1450,G,VEHICLE,0,0,0,0,,,
LNU-7410,100%,LAKE,JERUSALEM,8/9/15,8/25/15,CAL FIRE,25118,,25118,B,UNDETERMINED,27,0,0,0,,,
RRU-90069,100%,RIVERSIDE,ANZA,8/10/15,8/15/15,CAL FIRE,500,,500,B,HUMAN,0,0,0,0,,,
SLU-8555,100%,SAN LUIS OBISPO,CUESTA,8/16/15,9/3/15,CAL FIRE,2400,46,2446,G,VEHICLE,1,0,0,0,,
SCU-5524,100%,ALAMEDA,TESLA,8/19/15,8/25/15,CAL FIRE,2850,,2850,G,UNDETERMINED,1,0,0,0,,,
LNU-8268,100%,LAKE,ELK,9/2/15,9/6/15,CAL FIRE,100,600,700,B,EQUIPMENT,0,0,0,0,,
AEU-24918,100%,AMADOR,BUTTE,9/9/15,10/23/15,CAL FIRE,70868,,70868,TBG,ELECTRICAL POWER,965,0,0,2,,,
BTU-13363,100%,BUTTE,LUMPKIN,9/11/15,9/21/15,CAL FIRE,,1040,1040,TB,ARSON,0,0,0,0,,
LNU-8670,100%,LAKE,VALLEY,9/12/15,10/15/15,CAL FIRE,76067,,76067,TBG,UNDETERMINED,1958,93,0,4,,
BEU-4217,100%,MONTEREY,TASSAJARA,9/19/15,9/29/15,CAL FIRE,1086,,1086,B,UNDETERMINED,20,1,0,0,,,
BTU-14554,100%,BUTTE,MERIDIAN,10/3/15,10/4/15,CAL FIRE,860,,860,G,EQUIPMENT,0,0,0,0,,,
BEU-4582,100%,SAN BENITO,CIENEGA,10/12/15,10/16/15,CAL FIRE,690,,690,TB,ELECTRICAL POWER,0,0,0,0,,,
OVD-107,100%,MONO,VAN DYKE,2/6/15,2/10/15,USFS,,509,509,BG,UNDETERMINED,0,0,0,0,,
MCP-1207,100%,SAN DIEGO,CARL,4/28/15,4/29/15,DOD,,4000,4000,B,UNDETERMINED,0,0,0,0,,
MCP-1210,100%,SAN DIEGO,MORTAR,4/28/15,4/29/15,DOD,,800,800,B,UNDETERMINED,0,0,0,0,,
MCP-1212,100%,SAN DIEGO,GRENADE,4/29/15,5/5/15,DOD,,2025,2025,B,UNDETERMINED,0,0,0,0,,
SHF-1371,100%,TRINITY,SADDLE,6/9/15,6/25/15,USFS,,1542,1542,TB,LIGHTNING,0,0,0,0,,
FHL-001570,100%,MONTEREY,PEANUT,6/11/15,6/11/15,DOD,,1532,1532,G,UNDETERMINED,0,0,0,0,,
