COUNTY,04/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,04/01/2010
Alameda             ,1443939,1457185,1467063,1467892,1466407,1462736,1462371,1470622,1484085,1497799,1509240,1510271
Alpine              ,1208,1220,1242,1248,1257,1237,1232,1252,1228,1194,1178,1175
Amador              ,35100,35495,36159,36656,36961,37434,37843,38025,37975,37884,38011,38091
Butte               ,203171,204591,206942,209389,211419,212955,214690,216401,217801,218887,219967,220000
Calaveras           ,40554,41042,41773,42651,43554,44348,45044,45477,45670,45632,45602,45578
Colusa              ,18804,18974,19229,19538,19933,20374,20729,21006,21145,21221,21380,21419
Contra Costa        ,948816,962076,974657,984256,993958,1001216,1007169,1015672,1027264,1038390,1047948,1049025
Del Norte,27507,27434,27517,27744,28029,28251,28296,28378,28526,28565,28581,28610
El Dorado           ,156299,160079,163300,166195,168984,171739,174218,176226,177897,179150,180682,181058
Fresno              ,799407,808611,821809,837256,853057,866058,879128,893088,906521,918560,929758,930450
Glenn               ,26453,26584,26702,26974,27210,27394,27628,27872,28066,28088,28120,28122
Humboldt            ,126518,127011,128052,129468,130712,131467,131958,132443,132931,133484,134353,134623
Imperial            ,142361,143941,145954,149041,152420,155793,160088,164707,168495,171670,174244,174528
Inyo                ,18071,18162,18311,18461,18533,18511,18442,18434,18416,18416,18525,18546
Kern                ,661653,672004,688063,707111,728872,750969,774062,795982,812830,825503,837074,839631
Kings               ,129461,131100,133551,136710,140688,143607,146045,148933,151106,151816,152717,152982
Lake                ,58325,59260,60525,61492,62307,62870,63449,63890,64178,64384,64580,64665
Lassen              ,33828,33763,33628,33828,34313,34552,34769,35379,35437,34947,34794,34895
Los Angeles ,9519330,9590080,9679212,9756914,9806944,9816153,9798609,9780808,9785474,9801096,9822121,9818605
Madera              ,123109,125359,127469,130641,134645,138174,141693,145163,147958,149632,150749,150865
Marin               ,247289,247590,247567,247342,246990,246688,246969,248025,249546,250760,252279,252409
Mariposa            ,17130,17163,17365,17612,17818,17965,18150,18310,18381,18334,18277,18251
Mendocino           ,86265,86825,87326,87764,88130,88129,87802,87617,87715,87677,87807,87841
Merced              ,210554,214203,220018,225946,232356,238069,243072,247542,250734,253026,255399,255793
Modoc               ,9449,9473,9417,9456,9556,9595,9614,9615,9607,9628,9666,9686
Mono                ,12853,13034,13298,13478,13650,13763,13975,14182,14143,14074,14160,14202
Monterey            ,401762,404569,407440,410276,411544,409557,406935,406890,409387,412233,415108,415057
Napa                ,124279,125396,127064,128683,129814,130472,131330,132537,133969,135225,136316,136484
Nevada              ,92033,92693,94048,95277,96540,97454,98068,98408,98581,98558,98682,98764
Orange              ,2846289,2871926,2902207,2927118,2948135,2956847,2956334,2960659,2974321,2990805,3008855,3010232
Placer              ,248399,258293,270845,283703,296712,307710,317437,325985,333805,340995,347133,348432
Plumas              ,20824,20681,20702,20722,20824,20880,20785,20654,20483,20216,20045,20007
Riverside           ,1545387,1589708,1655291,1730219,1814485,1895695,1975913,2049902,2102741,2140626,2179692,2189641
Sacramento,1223499,1248072,1279588,1307189,1331910,1350523,1365214,1380172,1394510,1406168,1417259,1418788
San Benito  ,53234,54165,54948,55330,55374,55221,55025,54948,55022,55068,55272,55269
San Bernardino    ,1710139,1741416,1782268,1825379,1875063,1921423,1959715,1989690,2009594,2019432,2033141,2035210
San Diego           ,2813833,2849238,2890256,2927216,2953703,2966783,2976492,2998477,3032689,3064436,3091579,3095313
San Francisco,776733,780614,782765,782599,781308,780187,781295,787127,795002,800239,804989,805235
San Joaquin,563598,578121,596039,612295,629787,645059,656247,665304,672492,677833,684057,685306
San Luis Obispo     ,246681,249687,252604,254583,257045,259213,260873,262982,265505,267537,269333,269637
San Mateo           ,707163,707965,706213,704014,702254,700350,699347,701838,707820,713818,718614,718451
Santa Barbara       ,399347,401667,404794,407828,410357,411440,412271,414750,418309,421197,423740,423895
Santa Clara         ,1682585,1690366,1693230,1693752,1695602,1698234,1706676,1725066,1747912,1767204,1781427,1781642
Santa Cruz          ,255602,256031,255890,255368,254986,254783,255107,256543,258737,260892,262552,262382
Shasta              ,163256,165590,168304,170782,172729,173862,174747,175546,176240,176756,177248,177223
Sierra              ,3555,3603,3576,3555,3506,3449,3427,3384,3314,3264,3247,3240
Siskiyou            ,44301,44331,44331,44491,44691,44865,44918,44877,44952,44996,44962,44900
Solano              ,394930,399476,404895,407882,410164,410985,410964,411998,412908,412832,413268,413344
Sonoma              ,458614,462958,465726,467139,469103,469734,469751,471479,474819,478622,482961,483878
Stanislaus          ,446997,456423,468340,478283,486639,494144,500780,505959,509389,511226,514003,514453
Sutter              ,78930,79722,81086,83018,85097,87097,89364,91563,92983,93918,94765,94737
Tehama              ,56039,56149,56873,57847,58953,59976,61000,61777,62365,62921,63418,63463
Trinity             ,13022,12961,13061,13273,13453,13654,13806,13806,13759,13750,13811,13786
Tulare              ,368021,371479,377666,385769,395127,404148,412239,419842,427531,434933,441245,442179
Tuolumne            ,54504,54957,55619,56177,56407,56411,56506,56347,56098,55661,55291,55365
Ventura             ,753197,762944,774438,784632,792213,795962,799049,803572,808970,815284,822108,823318
Yolo                ,168660,172450,177180,180798,184015,186530,189078,192826,196219,198642,200484,200849
Yuba                ,60219,60879,62080,63349,64604,66478,68464,69719,70820,71609,72083,72155
State Total,33873086,34256789,34725516,35163609,35570847,35869173,36116202,36399676,36704375,36966713,37223900,37253956
