COUNTY,4/1/10,1/1/11,1/1/12,1/1/13,1/1/14,1/1/15,1/1/16
Alameda             ,"1,510,271","1,525,695"," 1,543,027 "," 1,566,339 "," 1,587,637 ","1,610,765","1,627,865"
Alpine              ,"1,175","1,169"," 1,166 "," 1,164 "," 1,163 ","1,164","1,166"
Amador              ,"38,091","38,011"," 37,945 "," 37,882 "," 37,831 ","37,765","37,707"
Butte               ,"220,000","220,828"," 221,064 "," 222,250 "," 223,120 ","224,121","224,601"
Calaveras           ,"45,578","45,557"," 45,495 "," 45,412 "," 45,357 ","45,282","45,207"
Colusa              ,"21,419","21,521"," 21,597 "," 21,700 "," 21,784 ","21,873","21,948"
Contra Costa        ,"1,049,025","1,059,495"," 1,069,977 "," 1,083,340 "," 1,097,172 ","1,111,143","1,123,429"
Del Norte,"28,610","28,235"," 28,066 "," 27,644 "," 27,189 ","26,762","26,811"
El Dorado           ,"181,058","181,170"," 180,952 "," 180,588 "," 181,731 ","182,743","183,750"
Fresno              ,"930,450","938,524"," 947,615 "," 955,989 "," 964,467 ","974,871","984,541"
Glenn               ,"28,122","28,238"," 28,317 "," 28,414 "," 28,489 ","28,579","28,668"
Humboldt            ,"134,623","135,711"," 135,289 "," 134,998 "," 134,943 ","135,052","135,116"
Imperial            ,"174,528","176,370"," 178,973 "," 180,221 "," 181,942 ","184,500","185,831"
Inyo                ,"18,546","18,536"," 18,559 "," 18,562 "," 18,586 ","18,619","18,650"
Kern                ,"839,631","845,978"," 854,122 "," 863,907 "," 871,922 ","880,387","886,507"
Kings               ,"152,982","151,322"," 151,330 "," 150,422 "," 149,707 ","149,738","150,373"
Lake                ,"64,665","64,491"," 64,347 "," 64,389 "," 64,428 ","64,669","64,306"
Lassen              ,"34,895","34,485"," 33,735 "," 32,647 "," 31,820 ","31,421","30,780"
Los Angeles ,"9,818,605","9,874,887"," 9,956,722 "," 10,023,753 "," 10,093,053 ","10,155,069","10,241,335"
Madera              ,"150,865","151,256"," 151,423 "," 151,408 "," 153,243 ","154,850","155,349"
Marin               ,"252,409","253,964"," 255,812 "," 257,228 "," 260,294 ","261,798","262,274"
Mariposa            ,"18,251","18,251"," 18,238 "," 18,208 "," 18,200 ","18,180","18,159"
Mendocino           ,"87,841","87,436"," 87,634 "," 88,187 "," 88,177 ","88,163","88,378"
Merced              ,"255,793","258,852"," 262,147 "," 264,502 "," 266,592 ","269,280","271,579"
Modoc               ,"9,686","9,696"," 9,670 "," 9,660 "," 9,638 ","9,635","9,638"
Mono                ,"14,202","14,219"," 14,191 "," 13,984 "," 13,862 ","13,756","13,721"
Monterey            ,"415,057","417,894"," 423,166 "," 427,117 "," 429,291 ","432,637","437,178"
Napa                ,"136,484","136,913"," 138,074 "," 138,844 "," 140,254 ","140,898","142,028"
Nevada              ,"98,764","98,409"," 98,069 "," 97,763 "," 97,766 ","98,037","98,095"
Orange              ,"3,010,232","3,035,167"," 3,069,454 "," 3,103,654 "," 3,127,403 ","3,151,910","3,183,011"
Placer              ,"348,432","353,228"," 358,152 "," 362,417 "," 367,176 ","370,238","373,796"
Plumas              ,"20,007","19,983"," 19,967 "," 19,925 "," 19,895 ","19,886","19,879"
Riverside           ,"2,189,641","2,212,874"," 2,239,715 "," 2,266,549 "," 2,291,093 ","2,317,924","2,347,828"
Sacramento,"1,418,788","1,429,653"," 1,440,456 "," 1,452,666 "," 1,465,654 ","1,481,803","1,495,297"
San Benito  ,"55,269","55,524"," 55,781 "," 56,003 "," 56,231 ","56,445","56,648"
San Bernardino    ,"2,035,210","2,054,735"," 2,070,374 "," 2,086,559 "," 2,100,700 ","2,121,088","2,139,570"
San Diego           ,"3,095,313","3,120,688"," 3,153,951 "," 3,194,778 "," 3,230,278 ","3,263,848","3,288,612"
San Francisco,"805,235","815,854"," 826,103 "," 839,564 "," 848,186 ","857,508","866,583"
San Joaquin,"685,306","691,818"," 698,412 "," 704,700 "," 711,850 ","723,761","733,383"
San Luis Obispo     ,"269,637","270,057"," 271,348 "," 273,254 "," 275,446 ","276,375","277,977"
San Mateo           ,"718,451","726,305"," 735,256 "," 745,626 "," 752,145 ","759,155","766,041"
Santa Barbara       ,"423,895","424,610"," 428,584 "," 433,360 "," 438,612 ","443,018","446,717"
Santa Clara         ,"1,781,642","1,803,362"," 1,828,496 "," 1,856,194 "," 1,879,813 ","1,903,974","1,927,888"
Santa Cruz          ,"262,382","264,761"," 266,918 "," 269,016 "," 270,890 ","273,594","275,902"
